quarter cycle,t,V_drive,i,i_m,v_C
0,5.399999999999996E-06,36,28.764922305290995,0.12790695959478948,7.648040884595965
0,5.499999999999996E-06,36,29.254390209968374,0.13336526454656963,7.928795937004752
0,5.5999999999999955E-06,36,29.742184723717912,0.13895835908781604,8.214296181567711
0,5.699999999999995E-06,36,30.2283010318525,0.1446873665225397,8.504523891024869
0,5.799999999999995E-06,36,30.712734364997445,0.15055340449075752,8.799461279900653
0,5.899999999999995E-06,36,31.19547999908806,0.15655758495804012,9.099090505003659
0,5.999999999999995E-06,36,31.67653325536633,0.1627010142052009,9.403393665926503
0,6.099999999999995E-06,36,32.15588950037661,0.16898479281812634,9.712352805545729
0,6.199999999999995E-06,36,32.633544145960435,0.1754100156777474,10.025949910521792
0,6.299999999999995E-06,36,33.109492649250384,0.1819777719501516,10.344166911799073
0,6.399999999999995E-06,36,33.58373051266299,0.18868914507683626,10.666985685105939
0,6.4999999999999945E-06,36,34.05625328389077,0.19554521276510217,10.994388051454823
0,6.599999999999994E-06,36,34.52705655589331,0.20254704697858808,11.32635577764233
0,6.699999999999994E-06,36,34.99613596688744,0.20969571392794556,11.662870576749338
0,6.799999999999994E-06,36,35.463487200336445,0.21699227406165417,12.003914108641098
0,6.899999999999994E-06,36,35.929105984938445,0.22443778205697706,12.34946798046732
0,6.999999999999994E-06,36,36.39298809461379,0.23203328681105648,12.699513747162237
0,7.099999999999994E-06,36,36.85512934849158,0.23977983143214932,13.054032911944617
0,7.199999999999994E-06,36,37.31552561089525,0.24767845323100265,13.413006926817749
0,7.299999999999994E-06,36,37.77417279132728,0.2557301837123688,13.77641719306936
0,7.3999999999999935E-06,36,38.23106684445298,0.2639360485666599,14.144245061771468
0,7.499999999999993E-06,36,38.68620377008338,0.27229706766174244,14.516471834280157
0,7.599999999999993E-06,36,39.13957961315721,0.28081425503487034,14.893078762735271
0,7.699999999999994E-06,36,39.59119046372199,0.28948861888475774,15.27404705056
0,7.799999999999995E-06,36,40.041032456914266,0.29832116156379057,15.659357852960365
0,7.899999999999996E-06,36,40.48910177293885,0.307312879570377,16.048992277424585
0,7.999999999999996E-06,36,40.935394637047295,0.31646476354143677,16.442931384222316
0,8.099999999999997E-06,36,41.3799073195154,0.3257777982450286,16.841156186903746
0,8.199999999999998E-06,36,41.82263613561983,0.3352529625731167,17.243647652798554
0,8.299999999999998E-06,36,42.26357744561394,0.3448912295344747,17.650386703514698
0,8.4E-06,36,42.70272765470259,0.35469356624772846,18.061354215437046
0,8.5E-06,36,43.1400832130162,0.36466093393453614,18.47653102022582
0,8.6E-06,36,43.575640615583836,0.3747942879129063,18.895897905314857
0,8.700000000000001E-06,36,44.00939640230551,0.38509457759065363,19.31943561440967
0,8.800000000000002E-06,36,44.44134715792354,0.3955627464589918,19.747124847985305
0,8.900000000000003E-06,36,44.87148951199307,0.4061997320862639,20.178946263783978
0,9.000000000000004E-06,36,45.29982013885175,0.4170064661118096,20.614880477312475
0,9.100000000000004E-06,36,45.72633575758851,0.42798387423996925,21.054908062339337
0,9.200000000000005E-06,36,46.15103313201149,0.439132876234225,21.499009551391772
0,9.300000000000006E-06,36,46.573909070615144,0.45045438591147763,21.947165436252334
0,9.400000000000007E-06,36,46.99496042654642,0.46194931113646076,22.39935616845531
0,9.500000000000007E-06,36,47.41418409757018,0.47361855381629014,22.855562159782856
0,9.600000000000008E-06,36,47.831577026033685,0.4854630098951496,23.315763782760836
0,9.700000000000009E-06,36,48.24713619883029,0.4974835693491124,23.77994137115435
0,9.80000000000001E-06,36,48.660858647362275,0.5096811161810981,24.24807522046299
0,9.90000000000001E-06,36,49.07274144750282,0.5220565284159651,24.720145588415747
0,1.0000000000000011E-05,36,49.48278171955719,0.5346106780957377,25.196132695465618
0,1.0100000000000012E-05,36,49.890976628223,0.5473444312749689,25.67601672528387
0,1.0200000000000012E-05,36,50.29732338254977,0.5602586480162373,26.159777825253947
0,1.0300000000000013E-05,36,50.7018192358975,0.5733541823857784,26.64739610696506
0,1.0400000000000014E-05,36,51.10446148589457,0.5866318824492511,27.138851646705373
0,1.0500000000000015E-05,36,51.50524747439467,0.6000925902676374,27.634124485954835
0,1.0600000000000015E-05,36,51.90417458743305,0.6137371418932763,28.13319463187765
0,1.0700000000000016E-05,36,52.30124025518182,0.6275663673660316,28.636042057814315
0,1.0800000000000017E-05,36,52.69644195190451,0.6415810907095922,29.142646703773295
0,1.0900000000000018E-05,36,53.08977719590983,0.6557821299279075,29.652988476922264
0,1.1000000000000018E-05,36,53.481243549504555,0.6701702970017537,30.167047252078948
0,1.1100000000000019E-05,36,53.870838618945626,0.6847463978854339,30.684802872201523
0,1.120000000000002E-05,36,54.25856005439149,0.6995112325036111,31.206235148878584
0,1.130000000000002E-05,36,54.644405549852564,0.7144655947482726,31.731323862818662
0,1.1400000000000021E-05,36,55.02837284314097,0.7296102724758271,32.260048764339295
0,1.1500000000000022E-05,36,55.410459715819414,0.7449460475043334,32.79238957385562
0,1.1600000000000023E-05,36,55.7906639931493,0.7604736956108606,33.32832598236852
0,1.1700000000000024E-05,36,56.16898354403808,0.7761939865289806,33.86783765195223
0,1.1800000000000024E-05,36,56.54541628098573,0.7921076839463899,34.41090421624153
0,1.1900000000000025E-05,36,56.919960160030534,0.8082155455026637,34.95750528091839
0,1.2000000000000026E-05,36,57.29261318069404,0.8245183227871408,35.50762042419807
0,1.2100000000000026E-05,36,57.66337338592524,0.8410167613369375,36.06122919731481
0,1.2200000000000027E-05,36,58.032238862043975,0.8577116006350929,36.61831112500685
0,1.2300000000000028E-05,36,58.399207738683565,0.8746035741088437,37.178845706001056
0,1.2400000000000029E-05,36,58.76427818873267,0.8916934091280283,37.742812413496885
0,1.250000000000003E-05,36,59.127448428276374,0.9089818270036207,38.31019069564987
0,1.260000000000003E-05,36,59.488716716536544,0.9264695429863933,38.880959976054505
0,1.2700000000000031E-05,36,59.84808135581136,0.9441572662657085,39.455099654226565
0,1.2800000000000032E-05,36,60.205540691414136,0.962045699968439,40.032589106084856
