t,i,i_m,v_C
1E-07,0.5714285714285714,0,0
2E-07,1.1415107219358331,6.606601646695459E-05,0.005602240896358543
3E-07,1.710239213107509,0.00019960774436867578,0.016792874777920956
4E-07,2.2776068505284823,0.0004020299905928648,0.03355796894814782
5E-07,2.8436064838336925,0.0006747326557931478,0.05588350640440164
6E-07,3.4082310067580055,0.001019110716377669,0.08375538631791045
7E-07,3.9714733571850553,0.0014365542066402956,0.117159424514397
8E-07,4.533326517195061,0.0019284482010344893,0.15608135395536185
9E-07,5.093783513111613,0.002496172796589887,0.20050682522000918
1E-06,5.652837415547444,0.003141103095471642,0.2504214069878035
1.1E-06,6.2104813394491725,0.0038646091876825654,0.3058105865216464
1.2E-06,6.766708444141023,0.004668056133908105,0.366659770151661
1.2999999999999998E-06,7.321511933367533,0.005552803948504203,0.4329542837595739
1.3999999999999997E-06,7.874885055335237,0.0065202075826280605,0.5046793732636821
1.4999999999999996E-06,8.426821102753335,0.00757161690751184,0.5818202051043939
1.5999999999999995E-06,8.977313412873347,0.00870837669787934,0.6643618667303334
1.6999999999999994E-06,9.526355367527747,0.009931826615505653,0.7522893670849948
1.7999999999999993E-06,10.0739403931676,0.011243301192919839,0.8455876370939384
1.8999999999999992E-06,10.620061960899166,0.012644129817250627,0.9442415301525137
1.999999999999999E-06,11.164713586519515,0.01413563671421516,1.048235822614101
2.099999999999999E-06,11.70788883055112,0.015719140932250797,1.157555214278859
2.199999999999999E-06,12.249581298275453,0.017395956326789988,1.2721843288829655
2.2999999999999987E-06,12.78978463976557,0.019167391544678204,1.3921077145883445
2.3999999999999986E-06,13.32849254991769,0.021034750008734955,1.517309844472863
2.4999999999999985E-06,13.86569876848179,0.022999329902457878,1.64777511702099
2.5999999999999984E-06,14.401397080091174,0.0250624241548699,1.783487856614905
2.6999999999999983E-06,14.935581314291062,0.027225320425509462,1.9244323140260453
2.799999999999998E-06,15.468245345566174,0.029489301089563796,2.07059266690708
2.899999999999998E-06,15.99938309336733,0.03185564322314526,2.221953020284302
2.999999999999998E-06,16.528988522137034,0.0343256185887107,2.3784974070504212
3.099999999999998E-06,17.05705564133409,0.036900493620623816,2.5402097884577577
3.1999999999999977E-06,17.583578505457226,0.039581529410860516,2.7070740546118115
3.2999999999999976E-06,18.108551214067695,0.04236998169485727,2.8790740249652074
3.3999999999999975E-06,18.63196791181095,0.045267100837502364,3.056193448812
3.4999999999999974E-06,19.15382278843727,0.048274131819270094,3.238416005782328
3.5999999999999973E-06,19.67411007882146,0.05139231422249784,3.4257253063374065
3.699999999999997E-06,20.19282406298152,0.05462288221780597,3.618104892264847
3.799999999999997E-06,20.70995906609637,0.05796706455066058,3.8155382371742954
3.899999999999997E-06,21.225509458522595,0.061426084528078934,4.018008746993371
3.999999999999997E-06,21.739469655810176,0.06500116000547773,4.225499760463905
4.099999999999997E-06,22.2518341187173,0.06869350337366396,4.437994549638461
4.199999999999997E-06,22.76259735322417,0.07250432154596842,4.655476320377124
4.299999999999997E-06,23.271753910545833,0.07643481594552179,4.877928212844558
4.399999999999997E-06,23.77929838714407,0.08048618249267327,5.105333302007306
4.499999999999997E-06,24.2852254247383,0.0846596115925516,5.33767459813134
4.599999999999997E-06,24.789529710315527,0.0889562881227686,5.574935047279827
4.6999999999999965E-06,25.292205976139314,0.09337739142126487,5.817097531811129
4.799999999999996E-06,25.79324899975781,0.09792409527429798,6.0641448708769925
4.899999999999996E-06,26.292653604010813,0.10259756790457263,6.316059820920948
4.999999999999996E-06,26.790414657035875,0.10739897195951312,6.572825076176891
5.099999999999996E-06,27.286527072273454,0.11232946449967782,6.834423269167836
5.199999999999996E-06,27.78098580847111,0.11739019698731554,7.100836971204833
5.299999999999996E-06,28.27378586968677,0.1225823152750639,7.372048692886047
5.399999999999996E-06,28.764922305290995,0.12790695959478948,7.648040884595965
5.499999999999996E-06,29.254390209968374,0.13336526454656963,7.928795937004752
5.5999999999999955E-06,29.742184723717912,0.13895835908781604,8.214296181567711
5.699999999999995E-06,30.2283010318525,0.1446873665225397,8.504523891024869
5.799999999999995E-06,30.712734364997445,0.15055340449075752,8.799461279900653
5.899999999999995E-06,31.19547999908806,0.15655758495804012,9.099090505003659
5.999999999999995E-06,31.67653325536633,0.1627010142052009,9.403393665926503
6.099999999999995E-06,32.15588950037661,0.16898479281812634,9.712352805545729
6.199999999999995E-06,32.633544145960435,0.1754100156777474,10.025949910521792
6.299999999999995E-06,33.109492649250384,0.1819777719501516,10.344166911799073
6.399999999999995E-06,33.58373051266299,0.18868914507683626,10.666985685105939
6.4999999999999945E-06,34.05625328389077,0.19554521276510217,10.994388051454823
6.599999999999994E-06,34.52705655589331,0.20254704697858808,11.32635577764233
6.699999999999994E-06,34.99613596688744,0.20969571392794556,11.662870576749338
6.799999999999994E-06,35.463487200336445,0.21699227406165417,12.003914108641098
6.899999999999994E-06,35.929105984938445,0.22443778205697706,12.34946798046732
6.999999999999994E-06,36.39298809461379,0.23203328681105648,12.699513747162237
7.099999999999994E-06,36.85512934849158,0.23977983143214932,13.054032911944617
7.199999999999994E-06,37.31552561089525,0.24767845323100265,13.413006926817749
7.299999999999994E-06,37.77417279132728,0.2557301837123688,13.77641719306936
7.3999999999999935E-06,38.23106684445298,0.2639360485666599,14.144245061771468
7.499999999999993E-06,38.68620377008338,0.27229706766174244,14.516471834280157
7.599999999999993E-06,39.13957961315721,0.28081425503487034,14.893078762735271
7.699999999999994E-06,39.59119046372199,0.28948861888475774,15.27404705056
7.799999999999995E-06,40.041032456914266,0.29832116156379057,15.659357852960365
7.899999999999996E-06,40.48910177293885,0.307312879570377,16.048992277424585
7.999999999999996E-06,40.935394637047295,0.31646476354143677,16.442931384222316
8.099999999999997E-06,41.3799073195154,0.3257777982450286,16.841156186903746
8.199999999999998E-06,41.82263613561983,0.3352529625731167,17.243647652798554
8.299999999999998E-06,42.26357744561394,0.3448912295344747,17.650386703514698
8.4E-06,42.70272765470259,0.35469356624772846,18.061354215437046
8.5E-06,43.1400832130162,0.36466093393453614,18.47653102022582
8.6E-06,43.575640615583836,0.3747942879129063,18.895897905314857
8.700000000000001E-06,44.00939640230551,0.38509457759065363,19.31943561440967
8.800000000000002E-06,44.44134715792354,0.3955627464589918,19.747124847985305
8.900000000000003E-06,44.87148951199307,0.4061997320862639,20.178946263783978
9.000000000000004E-06,45.29982013885175,0.4170064661118096,20.614880477312475
9.100000000000004E-06,45.72633575758851,0.42798387423996925,21.054908062339337
9.200000000000005E-06,46.15103313201149,0.439132876234225,21.499009551391772
9.300000000000006E-06,46.573909070615144,0.45045438591147763,21.947165436252334
9.400000000000007E-06,46.99496042654642,0.46194931113646076,22.39935616845531
9.500000000000007E-06,47.41418409757018,0.47361855381629014,22.855562159782856
9.600000000000008E-06,47.831577026033685,0.4854630098951496,23.315763782760836
9.700000000000009E-06,48.24713619883029,0.4974835693491124,23.77994137115435
9.80000000000001E-06,48.660858647362275,0.5096811161810981,24.24807522046299
9.90000000000001E-06,49.07274144750282,0.5220565284159651,24.720145588415747
1.0000000000000011E-05,49.48278171955719,0.5346106780957377,25.196132695465618
1.0100000000000012E-05,49.890976628223,0.5473444312749689,25.67601672528387
1.0200000000000012E-05,50.29732338254977,0.5602586480162373,26.159777825253947
1.0300000000000013E-05,50.7018192358975,0.5733541823857784,26.64739610696506
1.0400000000000014E-05,51.10446148589457,0.5866318824492511,27.138851646705373
1.0500000000000015E-05,51.50524747439467,0.6000925902676374,27.634124485954835
1.0600000000000015E-05,51.90417458743305,0.6137371418932763,28.13319463187765
1.0700000000000016E-05,52.30124025518182,0.6275663673660316,28.636042057814315
1.0800000000000017E-05,52.69644195190451,0.6415810907095922,29.142646703773295
1.0900000000000018E-05,53.08977719590983,0.6557821299279075,29.652988476922264
1.1000000000000018E-05,53.481243549504555,0.6701702970017537,30.167047252078948
1.1100000000000019E-05,53.870838618945626,0.6847463978854339,30.684802872201523
1.120000000000002E-05,54.25856005439149,0.6995112325036111,31.206235148878584
1.130000000000002E-05,54.644405549852564,0.7144655947482726,31.731323862818662
1.1400000000000021E-05,55.02837284314097,0.7296102724758271,32.260048764339295
1.1500000000000022E-05,55.410459715819414,0.7449460475043334,32.79238957385562
1.1600000000000023E-05,55.7906639931493,0.7604736956108606,33.32832598236852
1.1700000000000024E-05,56.16898354403808,0.7761939865289806,33.86783765195223
1.1800000000000024E-05,56.54541628098573,0.7921076839463899,34.41090421624153
1.1900000000000025E-05,56.919960160030534,0.8082155455026637,34.95750528091839
1.2000000000000026E-05,57.29261318069404,0.8245183227871408,35.50762042419807
1.2100000000000026E-05,57.66337338592524,0.8410167613369375,36.06122919731481
1.2200000000000027E-05,58.032238862043975,0.8577116006350929,36.61831112500685
1.2300000000000028E-05,58.399207738683565,0.8746035741088437,37.178845706001056
1.2400000000000029E-05,58.76427818873267,0.8916934091280283,37.742812413496885
1.250000000000003E-05,59.127448428276374,0.9089818270036207,38.31019069564987
1.260000000000003E-05,59.488716716536544,0.9264695429863933,38.880959976054505
1.2700000000000031E-05,59.84808135581136,0.9441572662657085,39.455099654226565
1.2800000000000032E-05,60.205540691414136,0.962045699968439,40.032589106084856
1.2900000000000032E-05,60.56109311161137,0.9801355411580165,40.61340768443236
1.3000000000000033E-05,60.91473704756004,0.998427480833608,41.1975347194368
1.3100000000000034E-05,61.26647097324414,1.0169222039294203,41.78494951911059
1.3200000000000035E-05,61.61629340541051,1.0356203893141325,42.37563136979015
1.3300000000000035E-05,61.964202903503846,1.0545227097904537,42.969559536614625
1.3400000000000036E-05,62.31019806960106,1.0736298320948106,43.56671326400397
