cycle,t,V_drive,i,i_m,v_C
0,1E-07,36,0.5714285714285714,0,0
0,2E-07,36,1.1415107219358331,6.606601646695459E-05,0.005602240896358543
0,3E-07,36,1.710239213107509,0.00019960774436867578,0.016792874777920956
0,4E-07,36,2.2776068505284823,0.0004020299905928648,0.03355796894814782
0,5E-07,36,2.8436064838336925,0.0006747326557931478,0.05588350640440164
0,6E-07,36,3.4082310067580055,0.001019110716377669,0.08375538631791045
0,7E-07,36,3.9714733571850553,0.0014365542066402956,0.117159424514397
0,8E-07,36,4.533326517195061,0.0019284482010344893,0.15608135395536185
0,9E-07,36,5.093783513111613,0.002496172796589887,0.20050682522000918
0,1E-06,36,5.652837415547444,0.003141103095471642,0.2504214069878035
0,1.1E-06,36,6.2104813394491725,0.0038646091876825654,0.3058105865216464
0,1.2E-06,36,6.766708444141023,0.004668056133908105,0.366659770151661
0,1.2999999999999998E-06,36,7.321511933367533,0.005552803948504203,0.4329542837595739
0,1.3999999999999997E-06,36,7.874885055335237,0.0065202075826280605,0.5046793732636821
0,1.4999999999999996E-06,36,8.426821102753335,0.00757161690751184,0.5818202051043939
0,1.5999999999999995E-06,36,8.977313412873347,0.00870837669787934,0.6643618667303334
0,1.6999999999999994E-06,36,9.526355367527747,0.009931826615505653,0.7522893670849948
0,1.7999999999999993E-06,36,10.0739403931676,0.011243301192919839,0.8455876370939384
0,1.8999999999999992E-06,36,10.620061960899166,0.012644129817250627,0.9442415301525137
0,1.999999999999999E-06,36,11.164713586519515,0.01413563671421516,1.048235822614101
0,2.099999999999999E-06,36,11.70788883055112,0.015719140932250797,1.157555214278859
0,2.199999999999999E-06,36,12.249581298275453,0.017395956326789988,1.2721843288829655
0,2.2999999999999987E-06,36,12.78978463976557,0.019167391544678204,1.3921077145883445
0,2.3999999999999986E-06,36,13.32849254991769,0.021034750008734955,1.517309844472863
0,2.4999999999999985E-06,36,13.86569876848179,0.022999329902457878,1.64777511702099
0,2.5999999999999984E-06,36,14.401397080091174,0.0250624241548699,1.783487856614905
0,2.6999999999999983E-06,36,14.935581314291062,0.027225320425509462,1.9244323140260453
0,2.799999999999998E-06,36,15.468245345566174,0.029489301089563796,2.07059266690708
0,2.899999999999998E-06,36,15.99938309336733,0.03185564322314526,2.221953020284302
0,2.999999999999998E-06,36,16.528988522137034,0.0343256185887107,2.3784974070504212
0,3.099999999999998E-06,36,17.05705564133409,0.036900493620623816,2.5402097884577577
0,3.1999999999999977E-06,36,17.583578505457226,0.039581529410860516,2.7070740546118115
0,3.2999999999999976E-06,36,18.108551214067695,0.04236998169485727,2.8790740249652074
0,3.3999999999999975E-06,36,18.63196791181095,0.045267100837502364,3.056193448812
0,3.4999999999999974E-06,36,19.15382278843727,0.048274131819270094,3.238416005782328
0,3.5999999999999973E-06,36,19.67411007882146,0.05139231422249784,3.4257253063374065
0,3.699999999999997E-06,36,20.19282406298152,0.05462288221780597,3.618104892264847
0,3.799999999999997E-06,36,20.70995906609637,0.05796706455066058,3.8155382371742954
0,3.899999999999997E-06,36,21.225509458522595,0.061426084528078934,4.018008746993371
0,3.999999999999997E-06,36,21.739469655810176,0.06500116000547773,4.225499760463905
0,4.099999999999997E-06,36,22.2518341187173,0.06869350337366396,4.437994549638461
0,4.199999999999997E-06,36,22.76259735322417,0.07250432154596842,4.655476320377124
0,4.299999999999997E-06,36,23.271753910545833,0.07643481594552179,4.877928212844558
0,4.399999999999997E-06,36,23.77929838714407,0.08048618249267327,5.105333302007306
0,4.499999999999997E-06,36,24.2852254247383,0.0846596115925516,5.33767459813134
0,4.599999999999997E-06,36,24.789529710315527,0.0889562881227686,5.574935047279827
0,4.6999999999999965E-06,36,25.292205976139314,0.09337739142126487,5.817097531811129
0,4.799999999999996E-06,36,25.79324899975781,0.09792409527429798,6.0641448708769925
0,4.899999999999996E-06,36,26.292653604010813,0.10259756790457263,6.316059820920948
0,4.999999999999996E-06,36,26.790414657035875,0.10739897195951312,6.572825076176891
0,5.099999999999996E-06,36,27.286527072273454,0.11232946449967782,6.834423269167836
0,5.199999999999996E-06,36,27.78098580847111,0.11739019698731554,7.100836971204833
0,5.299999999999996E-06,36,28.27378586968677,0.1225823152750639,7.372048692886047
